Row;Column1;Column;Value
2018;1;agulhas;87
2018;1;airline;41
2018;1;allover;389
2018;1;amenity;8
2018;1;anchovy;67
2018;1;angrier;37
2018;1;aplitic;140
2018;1;arecibo;15
2018;1;arrived;265
2018;1;bambino;14
2018;1;benison;26624
2018;1;berwick;702
2018;1;birling;177
2018;1;britska;0
2018;1;byronic;0
2018;1;cadorna;15145
2018;1;candler;34
2018;1;capelin;191
2018;1;cawdrey;6228
2018;1;chunder;69
2018;1;citizen;71
2018;1;coaxial;0
2018;1;contemn;7284
2018;1;cynurus;196
2018;1;dacryon;7175
2018;1;daro;0
2018;1;doubter;65
2018;1;drawbar;14358
2018;1;ebonise;1024
2018;1;engager;61
2018;1;enskyed;522
2018;1;eroding;143
2018;1;etching;762
2018;1;eyespot;0
2018;1;fergana;9169
2018;1;ferrari;278
2018;1;fleecer;75
2018;1;flunkey;881943
2018;1;flunkou;1555
2018;1;fordone;19090
2018;1;fumette;120
2018;1;gingham;0
2018;1;golding;35350
2018;1;gonadal;22
2018;1;gossipy;15
2018;1;grafton;3853
2018;1;heavier;0
2018;1;hydroid;27996
2018;1;iodizer;73
2018;1;ivylike;13
2018;1;kinesic;215
2018;1;kowloon;77
2018;1;lighter;49615
2018;1;luganda;114
2018;1;mabelle;3
2018;1;maestro;3201
2018;1;maginus;87
2018;1;manning;42
2018;1;microhm;12105
2018;1;mitford;27
2018;1;mitzvah;18649
2018;1;mizoram;0
2018;1;mortise;12695
2018;1;murther;58
2018;1;natalia;74
2018;1;neuston;161077
2018;1;nonplus;84516
2018;1;nonsane;0
2018;1;oceanog;39
2018;1;overlay;100814
2018;1;parquet;317
2018;1;philtre;295
2018;1;precast;11443
2018;1;protege;36
2018;1;puccoon;17
2018;1;quamash;101
2018;1;recarve;14295
2018;1;regosol;1116
2018;1;rending;14
2018;1;saurian;835
2018;1;scalpel;2642
2018;1;scauper;23
2018;1;seattle;10365
2018;1;service;135
2018;1;shaptin;13097
2018;1;shipman;308
2018;1;solubly;867
2018;1;sophist;5
2018;1;starver;237
2018;1;stertor;258
2018;1;subhead;350
2018;1;sullage;0
2018;1;supreme;102
2018;1;swaddle;0
2018;1;taboret;593
2018;1;toadied;5297
2018;1;triduum;94922
2018;1;tripoli;24
2018;1;trismus;9
2018;1;twinned;149
2018;1;vistula;3
2018;1;woodser;2876
2018;10;agulhas;106
2018;10;airline;2
2018;10;allover;486
2018;10;amenity;61
2018;10;anchovy;84
2018;10;angrier;217
2018;10;aplitic;88
2018;10;arecibo;61
2018;10;arrived;189
2018;10;bambino;35
2018;10;benison;19759
2018;10;berwick;878
2018;10;birling;365
2018;10;britska;18
2018;10;byronic;0
2018;10;cadorna;17430
2018;10;candler;90
2018;10;capelin;361
2018;10;cawdrey;13423
2018;10;chunder;231
2018;10;citizen;4
2018;10;coaxial;0
2018;10;contemn;11094
2018;10;cynurus;260
2018;10;dacryon;9568
2018;10;daro;189
2018;10;doubter;0
2018;10;drawbar;6569
2018;10;ebonise;936
2018;10;engager;19
2018;10;enskyed;466
2018;10;eroding;260
2018;10;etching;359
2018;10;eyespot;42
2018;10;fergana;12763
2018;10;ferrari;156
2018;10;fleecer;46
2018;10;flunkey;502179
2018;10;flunkou;2169
2018;10;fordone;10715
2018;10;fumette;191
2018;10;gingham;0
2018;10;golding;11924
2018;10;gonadal;5
2018;10;gossipy;14
2018;10;grafton;7560
2018;10;heavier;48
2018;10;hydroid;26939
2018;10;iodizer;149
2018;10;ivylike;22
2018;10;kinesic;172
2018;10;kowloon;21
2018;10;lighter;26145
2018;10;luganda;190
2018;10;mabelle;9
2018;10;maestro;2648
2018;10;maginus;113
2018;10;manning;136
2018;10;microhm;16062
2018;10;mitford;4
2018;10;mitzvah;23242
2018;10;mizoram;0
2018;10;mortise;64827
2018;10;murther;0
2018;10;natalia;60
2018;10;neuston;65676
2018;10;nonplus;83026
2018;10;nonsane;102
2018;10;oceanog;0
2018;10;overlay;40640
2018;10;parquet;613
2018;10;philtre;142
2018;10;precast;12926
2018;10;protege;100
2018;10;puccoon;3
2018;10;quamash;53
2018;10;recarve;21504
2018;10;regosol;475
2018;10;rending;103
2018;10;saurian;600
