Week_Number;Customer;Volume
1;agulhas;71
2;agulhas;123
3;agulhas;158
4;agulhas;107
5;agulhas;129
6;agulhas;162
7;agulhas;138
8;agulhas;106
9;agulhas;168
10;agulhas;90
11;agulhas;123
12;agulhas;138
13;agulhas;126
14;agulhas;156
15;agulhas;134
16;agulhas;63
17;agulhas;154
2;airline;18
3;airline;8
6;airline;15
7;airline;43
8;airline;39
9;airline;23
10;airline;25
11;airline;59
12;airline;27
13;airline;65
14;airline;21
16;airline;19
17;airline;9
1;allover;407
2;allover;818
3;allover;483
4;allover;899
5;allover;592
6;allover;446
7;allover;712
8;allover;747
9;allover;604
10;allover;694
11;allover;624
12;allover;533
13;allover;582
14;allover;564
15;allover;569
16;allover;529
17;allover;651
1;amenity;14
2;amenity;39
3;amenity;56
4;amenity;13
5;amenity;27
6;amenity;21
7;amenity;60
8;amenity;39
10;amenity;36
11;amenity;57
12;amenity;48
13;amenity;32
14;amenity;15
15;amenity;60
16;amenity;33
17;amenity;6
1;anchovy;146
2;anchovy;2
3;anchovy;277
4;anchovy;120
5;anchovy;40
6;anchovy;85
7;anchovy;71
8;anchovy;103
9;anchovy;30
10;anchovy;186
11;anchovy;97
12;anchovy;90
13;anchovy;241
14;anchovy;175
15;anchovy;89
16;anchovy;49
17;anchovy;158
1;angrier;44
2;angrier;204
3;angrier;307
4;angrier;140
5;angrier;36
6;angrier;172
7;angrier;204
8;angrier;165
9;angrier;168
10;angrier;159
11;angrier;195
12;angrier;138
13;angrier;111
14;angrier;194
15;angrier;153
16;angrier;73
17;angrier;206
1;aplitic;66
2;aplitic;109
3;aplitic;71
4;aplitic;88
5;aplitic;30
6;aplitic;111
7;aplitic;40
8;aplitic;89
9;aplitic;35
10;aplitic;105
11;aplitic;86
12;aplitic;141
13;aplitic;31
14;aplitic;61
15;aplitic;143
16;aplitic;35
17;aplitic;87
1;arecibo;53
2;arecibo;67
3;arecibo;81
4;arecibo;21
5;arecibo;52
6;arecibo;41
8;arecibo;20
10;arecibo;28
11;arecibo;48
12;arecibo;23
13;arecibo;35
14;arecibo;94
15;arecibo;61
16;arecibo;39
17;arecibo;49
1;arrived;258
2;arrived;383
3;arrived;592
4;arrived;217
5;arrived;98
6;arrived;21
7;arrived;286
8;arrived;185
9;arrived;183
10;arrived;333
11;arrived;188
12;arrived;261
13;arrived;251
14;arrived;321
15;arrived;253
16;arrived;222
17;arrived;701
1;bambino;64
2;bambino;17
3;bambino;26
4;bambino;11
6;bambino;44
7;bambino;26
9;bambino;100
10;bambino;30
11;bambino;39
12;bambino;38
13;bambino;39
14;bambino;8
15;bambino;85
16;bambino;18
17;bambino;20
1;benison;16402
2;benison;18758
3;benison;15068
4;benison;18458
5;benison;19612
6;benison;20230
7;benison;21084
8;benison;33980
9;benison;36245
10;benison;33504
11;benison;37542
12;benison;23052
13;benison;26530
14;benison;21400
15;benison;22597
16;benison;17601
17;benison;18436
1;berwick;682
2;berwick;829
3;berwick;970
4;berwick;822
5;berwick;980
6;berwick;1248
7;berwick;962
8;berwick;911
9;berwick;793
10;berwick;987
11;berwick;1001
12;berwick;1119
13;berwick;889
14;berwick;1591
15;berwick;1453
16;berwick;985
17;berwick;989
1;birling;60
2;birling;427
3;birling;165
4;birling;42
5;birling;662
6;birling;108
7;birling;114
8;birling;99
9;birling;451
10;birling;65
11;birling;139
12;birling;132
13;birling;741
14;birling;430
15;birling;449
16;birling;186
17;birling;220
1;britska;13
2;britska;93
3;britska;17
5;britska;7
6;britska;51
7;britska;19
10;britska;12
11;britska;22
12;britska;30
13;britska;66
14;britska;25
15;britska;6
16;britska;9
17;britska;52
2;byronic;76
3;byronic;35
4;byronic;12
5;byronic;38
6;byronic;3
7;byronic;43
8;byronic;8
9;byronic;62
10;byronic;27
11;byronic;23
12;byronic;71
13;byronic;27
14;byronic;5
15;byronic;6
16;byronic;40
17;byronic;27
1;cadorna;16588
2;cadorna;18830
3;cadorna;16252
4;cadorna;15129
5;cadorna;19506
6;cadorna;17658
7;cadorna;16264
8;cadorna;16864
9;cadorna;16796
10;cadorna;21346
11;cadorna;17057
12;cadorna;16831
13;cadorna;17110
14;cadorna;16713
15;cadorna;18394
16;cadorna;14381
17;cadorna;16548
1;candler;37
2;candler;19
3;candler;59
4;candler;27
5;candler;48
6;candler;20
7;candler;2
8;candler;54
9;candler;45
10;candler;41
13;candler;35
14;candler;5
15;candler;31
16;candler;9
17;candler;11
1;capelin;213
2;capelin;320
3;capelin;243
4;capelin;322
5;capelin;261
6;capelin;356
7;capelin;291
8;capelin;311
9;capelin;324
10;capelin;307
11;capelin;459
12;capelin;382
13;capelin;343
14;capelin;270
15;capelin;306
16;capelin;211
17;capelin;297
1;cawdrey;8789
2;cawdrey;10422
3;cawdrey;12253
4;cawdrey;7163
5;cawdrey;4446
6;cawdrey;5552
7;cawdrey;5047
8;cawdrey;5214
9;cawdrey;5764
10;cawdrey;8252
11;cawdrey;9733
12;cawdrey;12789
13;cawdrey;12957
14;cawdrey;14075
15;cawdrey;11538
16;cawdrey;11795
17;cawdrey;17339
1;chunder;31
2;chunder;136
3;chunder;194
4;chunder;110
5;chunder;111
6;chunder;70
7;chunder;68
8;chunder;159
9;chunder;16
10;chunder;42
11;chunder;56
12;chunder;13
13;chunder;12
14;chunder;21
15;chunder;71
17;chunder;33
1;citizen;33
2;citizen;60
3;citizen;54
4;citizen;8
5;citizen;34
6;citizen;75
8;citizen;24
9;citizen;30
10;citizen;36
12;citizen;18
13;citizen;49
15;citizen;34
16;citizen;63
17;citizen;33
1;contemn;4603
2;contemn;7589
3;contemn;7710
4;contemn;7432
5;contemn;7478
6;contemn;7602
7;contemn;7222
8;contemn;7161
9;contemn;7480
10;contemn;7671
11;contemn;7567
12;contemn;8036
13;contemn;7968
14;contemn;8558
15;contemn;7780
16;contemn;7237
17;contemn;7541
1;cynurus;8
2;cynurus;36
3;cynurus;115
4;cynurus;127
5;cynurus;245
6;cynurus;181
7;cynurus;82
8;cynurus;128
9;cynurus;159
10;cynurus;198
11;cynurus;236
12;cynurus;216
13;cynurus;158
14;cynurus;167
15;cynurus;127
16;cynurus;119
17;cynurus;271
1;dacryon;8876
2;dacryon;15714
3;dacryon;12311
4;dacryon;7528
5;dacryon;13298
6;dacryon;12879
7;dacryon;7824
8;dacryon;3109
9;dacryon;13494
10;dacryon;8991
11;dacryon;15546
12;dacryon;11318
13;dacryon;10522
14;dacryon;3551
15;dacryon;15096
16;dacryon;11936
17;dacryon;12501
3;daro;335
4;daro;289
5;daro;252
6;daro;301
7;daro;319
8;daro;280
9;daro;314
10;daro;317
11;daro;177
12;daro;250
13;daro;252
14;daro;288
15;daro;249
16;daro;121
17;daro;225
1;doubter;80
2;doubter;16
3;doubter;11
4;doubter;240
5;doubter;107
6;doubter;96
7;doubter;80
8;doubter;54
9;doubter;126
10;doubter;103
11;doubter;12
12;doubter;123
