Row;Column1;Column;Value
2017;1;agulhas;83
2017;1;airline;11
2017;1;allover;365
2017;1;amenity;21
2017;1;anchovy;74
2017;1;angrier;163
2017;1;aplitic;38
2017;1;arecibo;18
2017;1;arrived;77
2017;1;bambino;34
2017;1;benison;18478
2017;1;berwick;303
2017;1;birling;84
2017;1;britska;78
2017;1;byronic;18
2017;1;cadorna;17638
2017;1;candler;0
2017;1;capelin;107
2017;1;cawdrey;1067
2017;1;chunder;67
2017;1;citizen;28
2017;1;coaxial;320
2017;1;contemn;5671
2017;1;cynurus;140
2017;1;dacryon;6082
2017;1;daro;198
2017;1;doubter;45
2017;1;drawbar;13655
2017;1;ebonise;1246
2017;1;engager;3
2017;1;enskyed;881
2017;1;eroding;130
2017;1;etching;744
2017;1;eyespot;0
2017;1;fergana;9704
2017;1;ferrari;312
2017;1;fleecer;60
2017;1;flunkey;617215
2017;1;flunkou;0
2017;1;fordone;15474
2017;1;fumette;104
2017;1;gingham;0
2017;1;golding;19182
2017;1;gonadal;10
2017;1;gossipy;12
2017;1;grafton;54671
2017;1;heavier;18
2017;1;hydroid;27659
2017;1;iodizer;86
2017;1;ivylike;0
2017;1;kinesic;252
2017;1;kowloon;27
2017;1;lighter;10735
2017;1;luganda;113
2017;1;mabelle;29
2017;1;maestro;3168
2017;1;maginus;231
2017;1;manning;66
2017;1;microhm;10695
2017;1;mitford;87
2017;1;mitzvah;20957
2017;1;mizoram;14
2017;1;mortise;6185
2017;1;murther;25
2017;1;natalia;76
2017;1;neuston;125750
2017;1;nonplus;72063
2017;1;nonsane;0
2017;1;oceanog;35
2017;1;overlay;97817
2017;1;parquet;390
2017;1;philtre;204
2017;1;precast;13660
2017;1;protege;23
2017;1;puccoon;17
2017;1;quamash;101
2017;1;recarve;2017
2017;1;regosol;1212
2017;1;rending;17
2017;1;saurian;1327
2017;1;scalpel;679
2017;1;scauper;90
2017;1;seattle;8494
2017;1;service;196
2017;1;shaptin;12655
2017;1;shipman;293
2017;1;solubly;0
2017;1;sophist;25
2017;1;starver;143
2017;1;stertor;138
2017;1;subhead;228
2017;1;sullage;41
2017;1;supreme;0
2017;1;swaddle;17
2017;1;taboret;526
2017;1;toadied;7426
2017;1;triduum;72201
2017;1;tripoli;0
2017;1;trismus;10
2017;1;twinned;185
2017;1;vistula;155
2017;1;woodser;2910
2017;2;agulhas;98
2017;2;airline;13
2017;2;allover;246
2017;2;amenity;16
2017;2;anchovy;105
2017;2;angrier;210
2017;2;aplitic;126
2017;2;arecibo;33
2017;2;arrived;254
2017;2;bambino;88
2017;2;benison;16043
2017;2;berwick;401
2017;2;birling;62
2017;2;britska;51
2017;2;byronic;14
2017;2;cadorna;15066
2017;2;candler;43
2017;2;capelin;102
2017;2;cawdrey;2090
2017;2;chunder;179
2017;2;citizen;32
2017;2;coaxial;599
2017;2;contemn;9071
2017;2;cynurus;209
2017;2;dacryon;14027
2017;2;daro;275
2017;2;doubter;42
2017;2;drawbar;8130
2017;2;ebonise;1208
2017;2;engager;0
2017;2;enskyed;918
2017;2;eroding;221
2017;2;etching;505
2017;2;eyespot;0
2017;2;fergana;13009
2017;2;ferrari;282
2017;2;fleecer;76
2017;2;flunkey;516319
2017;2;flunkou;0
2017;2;fordone;14150
2017;2;fumette;89
2017;2;gingham;2
2017;2;golding;17242
2017;2;gonadal;15
2017;2;gossipy;40
2017;2;grafton;54499
2017;2;heavier;66
2017;2;hydroid;26666
2017;2;iodizer;127
2017;2;ivylike;10
2017;2;kinesic;310
2017;2;kowloon;85
2017;2;lighter;8188
2017;2;luganda;125
2017;2;mabelle;61
2017;2;maestro;2595
2017;2;maginus;241
2017;2;manning;308
2017;2;microhm;14565
2017;2;mitford;18
2017;2;mitzvah;46999
2017;2;mizoram;39
2017;2;mortise;8722
2017;2;murther;50
2017;2;natalia;191
2017;2;neuston;120928
2017;2;nonplus;156112
2017;2;nonsane;148
2017;2;oceanog;81
2017;2;overlay;49723
2017;2;parquet;266
2017;2;philtre;240
2017;2;precast;5265
2017;2;protege;42
2017;2;puccoon;33
2017;2;quamash;73
2017;2;recarve;1689
2017;2;regosol;1341
2017;2;rending;24
2017;2;saurian;995
2017;2;scalpel;780
2017;2;scauper;13
2017;2;seattle;7813
2017;2;service;192
2017;2;shaptin;19762
2017;2;shipman;254
2017;2;solubly;0
2017;2;sophist;77
2017;2;starver;226
2017;2;stertor;128
2017;2;subhead;451
2017;2;sullage;175
2017;2;supreme;50
2017;2;swaddle;31
2017;2;taboret;348
2017;2;toadied;14605
2017;2;triduum;60960
2017;2;tripoli;0
2017;2;trismus;27
2017;2;twinned;69
2017;2;vistula;75
2017;2;woodser;2364
2017;3;agulhas;57
2017;3;airline;35
2017;3;allover;374
2017;3;amenity;18
2017;3;anchovy;44
2017;3;angrier;163
2017;3;aplitic;149
2017;3;arecibo;48
2017;3;arrived;254
2017;3;bambino;139
2017;3;benison;14822
2017;3;berwick;558
2017;3;birling;88
2017;3;britska;48
2017;3;byronic;23
2017;3;cadorna;16744
2017;3;candler;20
2017;3;capelin;103
2017;3;cawdrey;965
2017;3;chunder;184
2017;3;citizen;25
2017;3;coaxial;875
2017;3;contemn;8663
2017;3;cynurus;222
2017;3;dacryon;9392
2017;3;daro;304
2017;3;doubter;86
2017;3;drawbar;6779
2017;3;ebonise;1199
2017;3;engager;13
2017;3;enskyed;858
2017;3;eroding;291
2017;3;etching;526
2017;3;eyespot;0
2017;3;fergana;11213
2017;3;ferrari;205
2017;3;fleecer;83
2017;3;flunkey;477298
2017;3;flunkou;0
2017;3;fordone;11684
2017;3;fumette;118
2017;3;gingham;99
2017;3;golding;14473
2017;3;gonadal;28
2017;3;gossipy;46
2017;3;grafton;55090
2017;3;heavier;63
2017;3;hydroid;25048
2017;3;iodizer;149
2017;3;ivylike;31
2017;3;kinesic;201
2017;3;kowloon;86
2017;3;lighter;9862
2017;3;luganda;175
2017;3;mabelle;39
2017;3;maestro;2338
2017;3;maginus;462
2017;3;manning;352
2017;3;microhm;14913
2017;3;mitford;73
2017;3;mitzvah;45238
2017;3;mizoram;52
2017;3;mortise;4365
2017;3;murther;76
2017;3;natalia;68
2017;3;neuston;98392
2017;3;nonplus;95800
2017;3;nonsane;8
2017;3;oceanog;209
2017;3;overlay;44595
2017;3;parquet;395
2017;3;philtre;139
2017;3;precast;5529
2017;3;protege;79
2017;3;puccoon;49
2017;3;quamash;44
2017;3;recarve;2429
2017;3;regosol;1203
2017;3;rending;75
2017;3;saurian;641
2017;3;scalpel;557
2017;3;scauper;47
2017;3;seattle;11536
2017;3;service;140
2017;3;shaptin;19319
2017;3;shipman;255
2017;3;solubly;0
2017;3;sophist;46
2017;3;starver;177
2017;3;stertor;147
2017;3;subhead;259
2017;3;sullage;348
2017;3;supreme;1
2017;3;swaddle;12
2017;3;taboret;235
2017;3;toadied;8635
2017;3;triduum;62057
2017;3;tripoli;0
2017;3;trismus;53
2017;3;twinned;94
2017;3;vistula;205
2017;3;woodser;2346
2017;4;agulhas;127
2017;4;airline;30
2017;4;allover;367
2017;4;amenity;0
2017;4;anchovy;30
2017;4;angrier;208
2017;4;aplitic;76
2017;4;arecibo;31
2017;4;arrived;193
2017;4;bambino;28
2017;4;benison;14090
2017;4;berwick;449
2017;4;birling;131
2017;4;britska;22
2017;4;byronic;16
2017;4;cadorna;14897
2017;4;candler;18
2017;4;capelin;87
2017;4;cawdrey;1299
2017;4;chunder;178
2017;4;citizen;10
2017;4;coaxial;342
2017;4;contemn;9007
2017;4;cynurus;200
2017;4;dacryon;13031
2017;4;daro;336
2017;4;doubter;62
2017;4;drawbar;7115
2017;4;ebonise;1127
2017;4;engager;25
2017;4;enskyed;928
2017;4;eroding;31
2017;4;etching;485
2017;4;eyespot;0
2017;4;fergana;11312
2017;4;ferrari;182
2017;4;fleecer;132
2017;4;flunkey;459019
2017;4;flunkou;0
2017;4;fordone;10954
2017;4;fumette;106
2017;4;gingham;64
2017;4;golding;12081
2017;4;gonadal;31
2017;4;gossipy;55
2017;4;grafton;56607
2017;4;heavier;0
2017;4;hydroid;24049
2017;4;iodizer;172
2017;4;ivylike;19
2017;4;kinesic;247
2017;4;kowloon;1
2017;4;lighter;5834
2017;4;luganda;154
2017;4;mabelle;39
2017;4;maestro;2137
2017;4;maginus;271
2017;4;manning;268
2017;4;microhm;13806
2017;4;mitford;0
2017;4;mitzvah;41879
2017;4;mizoram;0
2017;4;mortise;5368
2017;4;murther;21
2017;4;natalia;34
2017;4;neuston;89398
2017;4;nonplus;80400
2017;4;nonsane;17
2017;4;oceanog;15
2017;4;overlay;39312
2017;4;parquet;333
2017;4;philtre;129
2017;4;precast;8073
2017;4;protege;57
2017;4;puccoon;4
2017;4;quamash;53
2017;4;recarve;1905
2017;4;regosol;1163
2017;4;rending;15
2017;4;saurian;660
2017;4;scalpel;435
2017;4;scauper;1
2017;4;seattle;7357
2017;4;service;238
2017;4;shaptin;17931
2017;4;shipman;269
2017;4;solubly;0
2017;4;sophist;27
2017;4;starver;238
2017;4;stertor;131
2017;4;subhead;396
2017;4;sullage;290
2017;4;supreme;63
2017;4;swaddle;57
2017;4;taboret;249
2017;4;toadied;5849
2017;4;triduum;57184
2017;4;tripoli;16
2017;4;trismus;50
2017;4;twinned;83
2017;4;vistula;274
2017;4;woodser;1795
2017;5;agulhas;121
2017;5;airline;32
2017;5;allover;424
2017;5;amenity;24
2017;5;anchovy;26
2017;5;angrier;146
2017;5;aplitic;132
2017;5;arecibo;5
2017;5;arrived;82
2017;5;bambino;33
2017;5;benison;16353
2017;5;berwick;476
2017;5;birling;338
2017;5;britska;5
2017;5;byronic;18
2017;5;cadorna;11959
2017;5;candler;39
2017;5;capelin;62
2017;5;cawdrey;1508
2017;5;chunder;132
2017;5;citizen;21
2017;5;coaxial;178
2017;5;contemn;9110
2017;5;cynurus;109
2017;5;dacryon;11934
2017;5;daro;367
2017;5;doubter;36
2017;5;drawbar;4806
2017;5;ebonise;938
2017;5;engager;11
2017;5;enskyed;925
2017;5;eroding;187
2017;5;etching;386
2017;5;eyespot;0
2017;5;fergana;12294
2017;5;ferrari;211
2017;5;fleecer;58
2017;5;flunkey;476054
2017;5;flunkou;0
2017;5;fordone;10295
2017;5;fumette;87
2017;5;gingham;0
2017;5;golding;14152
2017;5;gonadal;17
2017;5;gossipy;0
2017;5;grafton;51619
2017;5;heavier;53
2017;5;hydroid;25967
2017;5;iodizer;153
2017;5;ivylike;0
2017;5;kinesic;233
2017;5;kowloon;0
2017;5;lighter;5387
2017;5;luganda;78
2017;5;mabelle;65
2017;5;maestro;2247
2017;5;maginus;275
2017;5;manning;404
2017;5;microhm;14040
2017;5;mitford;0
2017;5;mitzvah;27208
